title,artist,original_language,corrected_language
Dream A Little Dream Of Me - Single Version,"Ella Fitzgerald, Louis Armstrong",Hindi,English
Teach Me How To Love,Shawn Mendes,Hindi,English
Hasta Que Me Olvides,Luis Miguel,Hindi,English
"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")","Sachin-Jigar, Rashmeet Kaur, Shamur, IP Singh",English,Hindi
Me & U,Cassie,Hindi,English
You & Me,James TW,Hindi,English
Let Me Blow Ya Mind,"Eve, Gwen Stefani",Hindi,English
Me To Me,Morgan Wallen,Hindi,English
Se Voce Nao Quer Passa a Vez,Mc Delux,Hindi,English
Se Me Olvid,Christian Nodal,Hindi,English
Try Me,The Weeknd,Hindi,English
Killing Me Softly With His Song,Roberta Flack,Hindi,English
You Belong With Me,Taylor Swift,Hindi,English
right where you left me - bonus track,Taylor Swift,Hindi,English
Don't Bring Me Down,Electric Light Orchestra,Hindi,English
Fly Me To The Moon (In Other Words),"Frank Sinatra, Count Basie",Hindi,English
Rain On Me (with Ariana Grande),Lady Gaga,Hindi,English
You Really Got Me - Mono Mix,The Kinks,Hindi,English
Close To Me (with Diplo) (feat. Swae Lee),"Ellie Goulding, Diplo, Swae Lee",Hindi,English
Never Let Me Down,"VIZE, Tom Gregory",Hindi,English
All Eyez On Me,2Pac,Hindi,English
Perfect To Me,Anne-Marie,Hindi,English
Purple Hat,Sofi Tukker,English,Hindi
Baby Me Atende,"Matheus Fernandes, Dilsinho",Hindi,English
See Me Fall - Y2K Remix,"Ro Ransom, Y2K",Hindi,English
Me Vas a Extraar,Banda MS de Sergio Lizrraga,Hindi,English
Tell Me Why I'm Waiting,Timmies,Hindi,English
Shot For Me - Spotify Singles,The Kid LAROI,Hindi,English
Sexual Healing,Marvin Gaye,Hindi,English
Save Me,BTS,Hindi,English
Dont Matter To Me (with Michael Jackson),"Drake, Michael Jackson",Hindi,English
Me Gustas Tu,Manu Chao,Hindi,English
Lean on Me,Bill Withers,Hindi,English
You Broke Me First,Conor Maynard,Hindi,English
"Ghodey Pe Sawaar (From ""Qala"")",Amit Trivedi,English,Hindi
Esquea-Me Se For Capaz,Marlia Mendona,Hindi,English
Look at Me Now,Brennan Savage,Hindi,English
COUNT ON ME,BROCKHAMPTON,Hindi,English
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"Chris Brown, Lil Wayne, Busta Rhymes",Hindi,English
I Follow Rivers - The Magician Remix,"Lykke Li, The Magician",English,Hindi
Remember Me,UMI,Hindi,English
I Need You To Hate Me,JC Stewart,Hindi,English
She Drives Me Crazy,Fine Young Cannibals,Hindi,English
Me Too,Kevin Gates,Hindi,English
Me Too,Meghan Trainor,Hindi,English
If You Love Her,Forest Blakk,English,Hindi
U Remind Me,Usher,Hindi,English
Like Me (feat. iann dior),"$NOT, iann dior",Hindi,English
Dil Nu,AP Dhillon,Hindi,English
Down On Me,"Jeremih, 50 Cent",Hindi,English
Kingslayer (feat. BABYMETAL),"Bring Me The Horizon, BABYMETAL",Hindi,English
Meet Me Halfway,Black Eyed Peas,Hindi,English
drive ME crazy!,Lil Yachty,Hindi,English
Meet Me in the Hallway,Harry Styles,Hindi,English
I Heard It Through The Grapevine,Marvin Gaye,Hindi,English
You Spin Me Round (Like a Record),Dead Or Alive,Hindi,English
Take A Chance On Me,ABBA,Hindi,English
You & Me - Flume Remix,"Disclosure, Eliza Doolittle, Flume",Hindi,English
Love To Hate Me,BLACKPINK,Hindi,English
SET ME FREE (ENG),TWICE,Hindi,English
Hurt Me,Juice WRLD,Hindi,English
Raabta,Pritam,English,Hindi
this is me trying,Taylor Swift,Hindi,English
Me and Bobby McGee,Janis Joplin,Hindi,English
If You Don't Know Me by Now - 2008 Remaster,Simply Red,Hindi,English
Kiss Me,Ed Sheeran,Hindi,English
Marry Me,Train,Hindi,English
Khairiyat,"Pritam, Arijit Singh",English,Hindi
Dont Wake Me Up,Jonas Blue,Hindi,English
Me and Julio Down by the Schoolyard,Paul Simon,Hindi,English
Follow Me,Uncle Kracker,Hindi,English
Yo (Excuse Me Miss),Chris Brown,Hindi,English
Falling Away from Me,Korn,Hindi,English
Fly Me to the Moon,The Macarons Project,Hindi,English
Stay With Me,CHANYEOL,Hindi,English
Sing It With Me,"JP Cooper, Astrid S",Hindi,English
Put A Little Love On Me,Niall Horan,Hindi,English
Por Qu Me Haces Llorar?,Juan Gabriel,Hindi,English
Wrap Me In Plastic - Marcus Layton Radio Edit,"CHROMANCE, Marcus Layton",Hindi,English
I Want You to Want Me,Cheap Trick,Hindi,English
It's Ok If You Forget Me,Astrid S,Hindi,English
