title,artist,mood,energy,valence,tempo,language,album_art,preview_url
Hum Tumse Na Kuchh,"Dilip Sen-Sameer Sen, Hariharan, K.S. Chithra & Sameer Anjaan",anger,0.9,0.2,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/5e/e1/f7/5ee1f76b-c9b7-4d7d-11ec-6e50c61b9ec1/8901854115990.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/cc/d7/9f/ccd79f82-874d-0642-f8bb-e695733337ed/mzaf_12834889221718310640.plus.aac.p.m4a
Rang De Basanti,"A.R. Rahman, Daler Mehndi & K.S. Chithra",relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/91/2c/6c/912c6c29-bbec-e560-0088-0cdd4201359a/888880944825.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c9/52/23/c952239c-4daa-bf7f-44d1-4300e7abb66a/mzaf_7622546876988267295.plus.aac.p.m4a
Bangaru Bomma,"S.P. Charan, K.S. Chithra, Naga Vamshi & Balaji",motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/64/88/55/648855e3-87c1-be2e-678d-de5083cee762/820233352956.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/97/33/8e/97338e3a-c74f-3962-566c-b15f1965381b/mzaf_11745246655767647802.plus.aac.p.m4a
Yeh Haseen Vadiyan Yeh Khula Aasman,S.P. Balasubrahmanyam & K.S. Chithra,fear,0.4,0.1,110,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ee/ab/7e/eeab7ea6-7e1e-b1b7-f28d-b4f5faa5a868/886443571136.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/75/9b/ee/759beef6-06ef-e097-c257-564ef8d239ab/mzaf_11454506018582842454.plus.aac.p.m4a
Cheppamma,K.S. Chithra,anger,0.9,0.2,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/69/28/fc/6928fc6c-9c51-2ae7-3c04-56b3738a5da0/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d0/7f/f5/d07ff5a9-a380-3194-44e3-28fef729a9ad/mzaf_6084189402596343830.plus.aac.p.m4a
Naa Manasuney,S.P. Balasubrahmanyam & K.S. Chithra,relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/1b/92/e2/1b92e2d8-f15d-9795-bc93-9dd2465d68cf/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/06/d7/79/06d77995-043d-6545-100a-e2289103b244/mzaf_13841135528993114686.plus.aac.p.m4a
Dhim Thana,K.S. Chithra,fear,0.4,0.1,110,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/cb/e9/4b/cbe94b67-e40d-c64c-a84b-85d0c838b786/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/47/6b/56/476b56d2-9f1d-1393-fd54-116fcc16fc25/mzaf_4973025507139438794.plus.aac.p.m4a
"Roja (Version, 1)",S.P. Balasubrahmanyam & K.S. Chithra,relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ee/ab/7e/eeab7ea6-7e1e-b1b7-f28d-b4f5faa5a868/886443571136.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/2c/21/f5/2c21f5c9-bb97-e4a0-6713-db7c97edf0c5/mzaf_6549146556553131375.plus.aac.p.m4a
Telisiney Na Nuvvey,Revanth,motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e7/69/41/e769411f-3254-3078-db60-ef38034e156b/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/12/96/3f/12963f0a-8137-d820-4106-b9e170f786c1/mzaf_1721577138151631520.plus.aac.p.m4a
Chiranjeeva,Revanth & Shreya Ghoshal,relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/4f/04/1c/4f041c5d-f5b8-83ea-7e7a-1f9ea251cd86/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/29/9d/74/299d74b3-1301-3a4a-4473-982aba2c1e4b/mzaf_3011255911176046561.plus.aac.p.m4a
